x,y,V
1,0,0
1.02,0,0.0396053
1.04,0,0.0784414
1.06,0,0.116538
1.08,0,0.153922
1.1,0,0.19062
1.12,0,0.226657
1.14,0,0.262057
1.16,0,0.29684
1.18,0,0.331029
1.2,0,0.364643
1.22,0,0.397702
1.24,0,0.430223
1.26,0,0.462223
1.28,0,0.49372
1.3,0,0.524729
1.32,0,0.555263
1.34,0,0.585339
1.36,0,0.614969
1.38,0,0.644167
1.4,0,0.672944
1.42,0,0.701314
1.44,0,0.729286
1.46,0,0.756873
1.48,0,0.784084
1.5,0,0.81093
1.52,0,0.837421
1.54,0,0.863565
1.56,0,0.889372
1.58,0,0.91485
1.6,0,0.940007
1.62,0,0.964852
1.64,0,0.989392
1.66,0,1.01364
1.68,0,1.03759
1.7,0,1.06126
1.72,0,1.08465
1.74,0,1.10777
1.76,0,1.13063
1.78,0,1.15323
1.8,0,1.17557
1.82,0,1.19767
1.84,0,1.21953
1.86,0,1.24115
1.88,0,1.26254
1.9,0,1.28371
1.92,0,1.30465
1.94,0,1.32538
1.96,0,1.34589
1.98,0,1.36619
2,0,1.38629
1,0.02,0.00039992
1.02,0.02,0.0402854
1.04,0.02,0.0794016
1.06,0.02,0.117776
1.08,0.02,0.155436
1.1,0.02,0.192405
1.12,0.02,0.228706
1.14,0.02,0.264363
1.16,0.02,0.299397
1.18,0.02,0.333826
1.2,0.02,0.36767
1.22,0.02,0.400947
1.24,0.02,0.433674
1.26,0.02,0.465868
1.28,0.02,0.497543
1.3,0.02,0.528716
1.32,0.02,0.5594
1.34,0.02,0.589609
1.36,0.02,0.619356
1.38,0.02,0.648654
1.4,0.02,0.677514
1.42,0.02,0.705949
1.44,0.02,0.73397
1.46,0.02,0.761587
1.48,0.02,0.788812
1.5,0.02,0.815654
1.52,0.02,0.842122
1.54,0.02,0.868227
1.56,0.02,0.893978
1.58,0.02,0.919383
1.6,0.02,0.944451
1.62,0.02,0.96919
1.64,0.02,0.993609
1.66,0.02,1.01771
1.68,0.02,1.04152
1.7,0.02,1.06502
1.72,0.02,1.08823
1.74,0.02,1.11116
1.76,0.02,1.13381
1.78,0.02,1.1562
1.8,0.02,1.17832
1.82,0.02,1.20018
1.84,0.02,1.2218
1.86,0.02,1.24317
1.88,0.02,1.2643
1.9,0.02,1.28519
1.92,0.02,1.30587
1.94,0.02,1.32632
1.96,0.02,1.34655
1.98,0.02,1.36657
2,0.02,1.38639
1,0.04,0.00159872
1.02,0.04,0.041735
1.04,0.04,0.0811033
1.06,0.04,0.11973
1.08,0.04,0.15764
1.1,0.04,0.194856
1.12,0.04,0.2314
1.14,0.04,0.267294
1.16,0.04,0.302557
1.18,0.04,0.337208
1.2,0.04,0.371264
1.22,0.04,0.404742
1.24,0.04,0.437659
1.26,0.04,0.47003
1.28,0.04,0.50187
1.3,0.04,0.533193
1.32,0.04,0.564012
1.34,0.04,0.594341
1.36,0.04,0.624192
1.38,0.04,0.653577
1.4,0.04,0.682509
1.42,0.04,0.710999
1.44,0.04,0.739057
1.46,0.04,0.766695
1.48,0.04,0.793923
1.5,0.04,0.82075
1.52,0.04,0.847188
1.54,0.04,0.873244
1.56,0.04,0.89893
1.58,0.04,0.924253
1.6,0.04,0.949223
1.62,0.04,0.973849
1.64,0.04,0.998138
1.66,0.04,1.0221
1.68,0.04,1.04574
1.7,0.04,1.06907
1.72,0.04,1.0921
1.74,0.04,1.11483
1.76,0.04,1.13727
1.78,0.04,1.15943
1.8,0.04,1.18132
1.82,0.04,1.20294
1.84,0.04,1.22431
1.86,0.04,1.24542
1.88,0.04,1.26628
1.9,0.04,1.28691
1.92,0.04,1.3073
1.94,0.04,1.32747
1.96,0.04,1.34742
1.98,0.04,1.36716
2,0.04,1.38669
1,0.06,0.00359354
1.02,0.06,0.0439526
1.04,0.06,0.0835467
1.06,0.06,0.122401
1.08,0.06,0.160537
1.1,0.06,0.197979
1.12,0.06,0.234745
1.14,0.06,0.270856
1.16,0.06,0.30633
1.18,0.06,0.341185
1.2,0.06,0.375436
1.22,0.06,0.409099
1.24,0.06,0.442191
1.26,0.06,0.474724
1.28,0.06,0.506714
1.3,0.06,0.538173
1.32,0.06,0.569114
1.34,0.06,0.59955
1.36,0.06,0.629494
1.38,0.06,0.658955
1.4,0.06,0.687947
1.42,0.06,0.71648
1.44,0.06,0.744566
1.46,0.06,0.772213
1.48,0.06,0.799434
1.5,0.06,0.826238
1.52,0.06,0.852634
1.54,0.06,0.878633
1.56,0.06,0.904245
1.58,0.06,0.929477
1.6,0.06,0.954341
1.62,0.06,0.978844
1.64,0.06,1.003
1.66,0.06,1.0268
1.68,0.06,1.05028
1.7,0.06,1.07343
1.72,0.06,1.09626
1.74,0.06,1.11879
1.76,0.06,1.14101
1.78,0.06,1.16294
1.8,0.06,1.18459
1.82,0.06,1.20596
1.84,0.06,1.22707
1.86,0.06,1.24791
1.88,0.06,1.2685
1.9,0.06,1.28885
1.92,0.06,1.30896
1.94,0.06,1.32885
1.96,0.06,1.34851
1.98,0.06,1.36795
2,0.06,1.38719
1,0.08,0.00637961
1.02,0.08,0.0469351
1.04,0.08,0.0867305
1.06,0.08,0.125788
1.08,0.08,0.164131
1.1,0.08,0.201777
1.12,0.08,0.238746
1.14,0.08,0.275056
1.16,0.08,0.310724
1.18,0.08,0.345765
1.2,0.08,0.380195
1.22,0.08,0.414029
1.24,0.08,0.447281
1.26,0.08,0.479963
1.28,0.08,0.512089
1.3,0.08,0.543671
1.32,0.08,0.574723
1.34,0.08,0.605254
1.36,0.08,0.635278
1.38,0.08,0.664804
1.4,0.08,0.693845
1.42,0.08,0.722411
1.44,0.08,0.750512
1.46,0.08,0.778159
1.48,0.08,0.805363
1.5,0.08,0.832133
1.52,0.08,0.858479
1.54,0.08,0.884411
1.56,0.08,0.909939
1.58,0.08,0.935072
1.6,0.08,0.959819
1.62,0.08,0.984191
1.64,0.08,1.0082
1.66,0.08,1.03184
1.68,0.08,1.05514
1.7,0.08,1.0781
1.72,0.08,1.10073
1.74,0.08,1.12304
1.76,0.08,1.14504
1.78,0.08,1.16674
