x,y,V
1,1,0
1.005,1,0.00501248
1.01,1,0.0100498
1.015,1,0.0151119
1.02,1,0.0201987
1.025,1,0.0253099
1.03,1,0.0304456
1.035,1,0.0356055
1.04,1,0.0407895
1.045,1,0.0459976
1.05,1,0.0512297
1.055,1,0.0564855
1.06,1,0.061765
1.065,1,0.0670682
1.07,1,0.0723948
1.075,1,0.0777447
1.08,1,0.0831179
1.085,1,0.0885143
1.09,1,0.0939337
1.095,1,0.099376
1.1,1,0.104841
1.105,1,0.110329
1.11,1,0.11584
1.115,1,0.121373
1.12,1,0.126928
1.125,1,0.132506
1.13,1,0.138106
1.135,1,0.143728
1.14,1,0.149372
1.145,1,0.155038
1.15,1,0.160726
1.155,1,0.166436
1.16,1,0.172167
1.165,1,0.17792
1.17,1,0.183694
1.175,1,0.18949
1.18,1,0.195307
1.185,1,0.201145
1.19,1,0.207004
1.195,1,0.212885
1.2,1,0.218786
1.205,1,0.224708
1.21,1,0.230651
1.215,1,0.236614
1.22,1,0.242598
1.225,1,0.248603
1.23,1,0.254627
1.235,1,0.260673
1.24,1,0.266738
1.245,1,0.272824
1.25,1,0.278929
1.255,1,0.285055
1.26,1,0.291201
1.265,1,0.297366
1.27,1,0.303551
1.275,1,0.309756
1.28,1,0.315981
1.285,1,0.322225
1.29,1,0.328488
1.295,1,0.334771
1.3,1,0.341074
1.305,1,0.347395
1.31,1,0.353736
1.315,1,0.360095
1.32,1,0.366474
1.325,1,0.372872
1.33,1,0.379288
1.335,1,0.385723
1.34,1,0.392177
1.345,1,0.39865
1.35,1,0.405141
1.355,1,0.411651
1.36,1,0.418179
1.365,1,0.424726
1.37,1,0.431291
1.375,1,0.437874
1.38,1,0.444475
1.385,1,0.451095
1.39,1,0.457732
1.395,1,0.464388
1.4,1,0.471061
1.405,1,0.477752
1.41,1,0.484461
1.415,1,0.491188
1.42,1,0.497933
1.425,1,0.504695
1.43,1,0.511474
1.435,1,0.518272
1.44,1,0.525086
1.445,1,0.531918
1.45,1,0.538767
1.455,1,0.545634
1.46,1,0.552517
1.465,1,0.559418
1.47,1,0.566336
1.475,1,0.573271
1.48,1,0.580222
1.485,1,0.587191
1.49,1,0.594176
1.495,1,0.601179
1.5,1,0.608198
1.505,1,0.615233
1.51,1,0.622286
1.515,1,0.629354
1.52,1,0.63644
1.525,1,0.643541
1.53,1,0.65066
1.535,1,0.657794
1.54,1,0.664945
1.545,1,0.672112
1.55,1,0.679295
1.555,1,0.686494
1.56,1,0.69371
1.565,1,0.700941
1.57,1,0.708189
1.575,1,0.715452
1.58,1,0.722731
1.585,1,0.730026
1.59,1,0.737337
1.595,1,0.744664
1.6,1,0.752006
1.605,1,0.759364
1.61,1,0.766737
1.615,1,0.774126
1.62,1,0.78153
1.625,1,0.78895
1.63,1,0.796385
1.635,1,0.803836
1.64,1,0.811302
1.645,1,0.818783
1.65,1,0.826279
1.655,1,0.833791
1.66,1,0.841317
1.665,1,0.848859
1.67,1,0.856415
1.675,1,0.863987
1.68,1,0.871574
1.685,1,0.879175
1.69,1,0.886791
1.695,1,0.894422
1.7,1,0.902068
1.705,1,0.909729
1.71,1,0.917404
1.715,1,0.925093
1.72,1,0.932798
1.725,1,0.940517
1.73,1,0.94825
1.735,1,0.955998
1.74,1,0.96376
1.745,1,0.971537
1.75,1,0.979328
1.755,1,0.987133
1.76,1,0.994952
1.765,1,1.00279
1.77,1,1.01063
1.775,1,1.0185
1.78,1,1.02637
1.785,1,1.03426
1.79,1,1.04217
1.795,1,1.05008
1.8,1,1.05802
1.805,1,1.06596
1.81,1,1.07392
1.815,1,1.0819
1.82,1,1.08988
1.825,1,1.09788
1.83,1,1.1059
1.835,1,1.11393
1.84,1,1.12197
1.845,1,1.13002
1.85,1,1.13809
1.855,1,1.14618
1.86,1,1.15427
1.865,1,1.16238
1.87,1,1.1705
1.875,1,1.17864
1.88,1,1.18679
1.885,1,1.19495
1.89,1,1.20313
1.895,1,1.21132
1.9,1,1.21952
1.905,1,1.22774
1.91,1,1.23597
1.915,1,1.24421
1.92,1,1.25246
1.925,1,1.26073
1.93,1,1.26901
1.935,1,1.27731
1.94,1,1.28561
1.945,1,1.29393
1.95,1,1.30227
1.955,1,1.31061
1.96,1,1.31897
1.965,1,1.32734
1.97,1,1.33573
1.975,1,1.34412
1.98,1,1.35253
1.985,1,1.36095
1.99,1,1.36939
1.995,1,1.37783
2,1,1.38629
1,1.005,0.00501248
1.005,1.005,0.0100576
1.01,1.005,0.0151278
1.015,1.005,0.0202229
1.02,1.005,0.0253427
1.025,1.005,0.0304872
1.03,1.005,0.0356562
1.035,1.005,0.0408496
1.04,1.005,0.0460673
1.045,1.005,0.0513092
1.05,1.005,0.0565751
1.055,1.005,0.061865
1.06,1.005,0.0671788
1.065,1.005,0.0725163
1.07,1.005,0.0778775
1.075,1.005,0.0832622
1.08,1.005,0.0886703
1.085,1.005,0.0941017
1.09,1.005,0.0995563
1.095,1.005,0.105034
1.1,1.005,0.110535
1.105,1.005,0.116058
1.11,1.005,0.121605
1.115,1.005,0.127174
1.12,1.005,0.132766
1.125,1.005,0.13838
1.13,1.005,0.144017
1.135,1.005,0.149676
1.14,1.005,0.155357
1.145,1.005,0.16106
1.15,1.005,0.166786
1.155,1.005,0.172533
1.16,1.005,0.178302
1.165,1.005,0.184093
1.17,1.005,0.189906
1.175,1.005,0.19574
1.18,1.005,0.201596
1.185,1.005,0.207473
1.19,1.005,0.213372
1.195,1.005,0.219291
1.2,1.005,0.225232
1.205,1.005,0.231194
1.21,1.005,0.237177
1.215,1.005,0.243181
1.22,1.005,0.249206
1.225,1.005,0.255251
1.23,1.005,0.261317
1.235,1.005,0.267404
1.24,1.005,0.273511
1.245,1.005,0.279638
1.25,1.005,0.285786
1.255,1.005,0.291954
1.26,1.005,0.298143
1.265,1.005,0.304351
1.27,1.005,0.310579
1.275,1.005,0.316828
1.28,1.005,0.323096
1.285,1.005,0.329384
1.29,1.005,0.335692
1.295,1.005,0.34202
1.3,1.005,0.348367
1.305,1.005,0.354733
1.31,1.005,0.361119
1.315,1.005,0.367525
1.32,1.005,0.37395
1.325,1.005,0.380394
1.33,1.005,0.386857
1.335,1.005,0.393339
1.34,1.005,0.39984
1.345,1.005,0.406361
1.35,1.005,0.4129
1.355,1.005,0.419458
1.36,1.005,0.426035
1.365,1.005,0.43263
1.37,1.005,0.439244
1.375,1.005,0.445877
1.38,1.005,0.452528
1.385,1.005,0.459198
1.39,1.005,0.465886
1.395,1.005,0.472592
1.4,1.005,0.479317
1.405,1.005,0.48606
1.41,1.005,0.492821
1.415,1.005,0.4996
1.42,1.005,0.506397
1.425,1.005,0.513212
1.43,1.005,0.520045
1.435,1.005,0.526895
1.44,1.005,0.533764
1.445,1.005,0.54065
1.45,1.005,0.547554
1.455,1.005,0.554475
1.46,1.005,0.561414
1.465,1.005,0.568371
1.47,1.005,0.575345
1.475,1.005,0.582336
1.48,1.005,0.589345
1.485,1.005,0.596371
1.49,1.005,0.603414
1.495,1.005,0.610474
1.5,1.005,0.617551
1.505,1.005,0.624646
1.51,1.005,0.631757
1.515,1.005,0.638886
1.52,1.005,0.646031
1.525,1.005,0.653193
1.53,1.005,0.660372
1.535,1.005,0.667567
1.54,1.005,0.674779
1.545,1.005,0.682008
1.55,1.005,0.689254
1.555,1.005,0.696515
1.56,1.005,0.703794
1.565,1.005,0.711089
1.57,1.005,0.7184
1.575,1.005,0.725727
1.58,1.005,0.733071
1.585,1.005,0.740431
1.59,1.005,0.747807
1.595,1.005,0.755199
1.6,1.005,0.762607
1.605,1.005,0.770032
1.61,1.005,0.777472
1.615,1.005,0.784928
1.62,1.005,0.7924
1.625,1.005,0.799888
1.63,1.005,0.807392
1.635,1.005,0.814911
1.64,1.005,0.822446
1.645,1.005,0.829997
1.65,1.005,0.837563
1.655,1.005,0.845145
1.66,1.005,0.852742
1.665,1.005,0.860355
1.67,1.005,0.867983
1.675,1.005,0.875626
1.68,1.005,0.883285
1.685,1.005,0.890959
1.69,1.005,0.898648
1.695,1.005,0.906352
1.7,1.005,0.914072
1.705,1.005,0.921806
1.71,1.005,0.929556
1.715,1.005,0.93732
1.72,1.005,0.9451
1.725,1.005,0.952894
1.73,1.005,0.960704
1.735,1.005,0.968528
1.74,1.005,0.976366
1.745,1.005,0.98422
1.75,1.005,0.992088
1.755,1.005,0.999971
1.76,1.005,1.00787
1.765,1.005,1.01578
1.77,1.005,1.02371
1.775,1.005,1.03165
1.78,1.005,1.0396
1.785,1.005,1.04757
1.79,1.005,1.05556
1.795,1.005,1.06355
1.8,1.005,1.07157
1.805,1.005,1.07959
1.81,1.005,1.08763
1.815,1.005,1.09569
1.82,1.005,1.10376
1.825,1.005,1.11184
1.83,1.005,1.11994
1.835,1.005,1.12805
1.84,1.005,1.13617
1.845,1.005,1.14431
1.85,1.005,1.15246
1.855,1.005,1.16063
1.86,1.005,1.16881
1.865,1.005,1.177
1.87,1.005,1.18521
1.875,1.005,1.19343
1.88,1.005,1.20167
1.885,1.005,1.20991
1.89,1.005,1.21817
1.895,1.005,1.22645
1.9,1.005,1.23474
1.905,1.005,1.24304
1.91,1.005,1.25135
1.915,1.005,1.25968
1.92,1.005,1.26802
1.925,1.005,1.27638
1.93,1.005,1.28475
1.935,1.005,1.29313
1.94,1.005,1.30152
1.945,1.005,1.30993
1.95,1.005,1.31835
1.955,1.005,1.32678
1.96,1.005,1.33523
1.965,1.005,1.34368
1.97,1.005,1.35216
1.975,1.005,1.36064
1.98,1.005,1.36914
1.985,1.005,1.37765
1.99,1.005,1.38617
1.995,1.005,1.3947
2,1.005,1.40325
1,1.01,0.0100498
1.005,1.01,0.0151278
1.01,1.01,0.0202309
1.015,1.01,0.0253591
