x,y,V
1,0,0
1.00833,0,0.0165976
1.01667,0,0.0330586
1.025,0,0.0493852
1.03333,0,0.0655796
1.04167,0,0.081644
1.05,0,0.0975803
1.05833,0,0.113391
1.06667,0,0.129077
1.075,0,0.144641
1.08333,0,0.160085
1.09167,0,0.175411
1.1,0,0.19062
1.10833,0,0.205715
1.11667,0,0.220696
1.125,0,0.235566
1.13333,0,0.250326
1.14167,0,0.264978
1.15,0,0.279524
1.15833,0,0.293964
1.16667,0,0.308301
1.175,0,0.322536
1.18333,0,0.336671
1.19167,0,0.350706
1.2,0,0.364643
1.20833,0,0.378484
1.21667,0,0.39223
1.225,0,0.405882
1.23333,0,0.419441
1.24167,0,0.432909
1.25,0,0.446287
1.25833,0,0.459576
1.26667,0,0.472778
1.275,0,0.485892
1.28333,0,0.498922
1.29167,0,0.511867
1.3,0,0.524729
1.30833,0,0.537508
1.31667,0,0.550207
1.325,0,0.562825
1.33333,0,0.575364
1.34167,0,0.587825
1.35,0,0.600209
1.35833,0,0.612517
1.36667,0,0.624749
1.375,0,0.636907
1.38333,0,0.648992
1.39167,0,0.661004
1.4,0,0.672944
1.40833,0,0.684814
1.41667,0,0.696613
1.425,0,0.708344
1.43333,0,0.720005
1.44167,0,0.7316
1.45,0,0.743127
1.45833,0,0.754588
1.46667,0,0.765985
1.475,0,0.777316
1.48333,0,0.788584
1.49167,0,0.799788
1.5,0,0.81093
1.50833,0,0.822011
1.51667,0,0.83303
1.525,0,0.843989
1.53333,0,0.854888
1.54167,0,0.865728
1.55,0,0.87651
1.55833,0,0.887234
1.56667,0,0.8979
1.575,0,0.908511
1.58333,0,0.919065
1.59167,0,0.929563
1.6,0,0.940007
1.60833,0,0.950397
1.61667,0,0.960733
1.625,0,0.971016
1.63333,0,0.981246
1.64167,0,0.991424
1.65,0,1.00155
1.65833,0,1.01163
1.66667,0,1.02165
1.675,0,1.03163
1.68333,0,1.04155
1.69167,0,1.05143
1.7,0,1.06126
1.70833,0,1.07104
1.71667,0,1.08077
1.725,0,1.09045
1.73333,0,1.10009
1.74167,0,1.10969
1.75,0,1.11923
1.75833,0,1.12873
1.76667,0,1.13819
1.775,0,1.1476
1.78333,0,1.15697
1.79167,0,1.16629
1.8,0,1.17557
1.80833,0,1.18481
1.81667,0,1.19401
1.825,0,1.20316
1.83333,0,1.21227
1.84167,0,1.22134
1.85,0,1.23037
1.85833,0,1.23936
1.86667,0,1.24831
1.875,0,1.25722
1.88333,0,1.26609
1.89167,0,1.27492
1.9,0,1.28371
1.90833,0,1.29246
1.91667,0,1.30118
1.925,0,1.30985
1.93333,0,1.31849
1.94167,0,1.32709
1.95,0,1.33566
1.95833,0,1.34419
1.96667,0,1.35268
1.975,0,1.36114
1.98333,0,1.36956
1.99167,0,1.37794
2,0,1.38629
1,0.00833333,6.9442e-05
1.00833,0.00833333,0.0167156
1.01667,0.00833333,0.0332252
1.025,0.00833333,0.0496004
1.03333,0.00833333,0.0658432
1.04167,0.00833333,0.0819559
1.05,0.00833333,0.0979404
1.05833,0.00833333,0.113799
1.06667,0.00833333,0.129533
1.075,0.00833333,0.145144
1.08333,0.00833333,0.160636
1.09167,0.00833333,0.176008
1.1,0.00833333,0.191264
1.10833,0.00833333,0.206404
1.11667,0.00833333,0.221431
1.125,0.00833333,0.236346
1.13333,0.00833333,0.25115
1.14167,0.00833333,0.265846
1.15,0.00833333,0.280435
1.15833,0.00833333,0.294918
1.16667,0.00833333,0.309297
1.175,0.00833333,0.323573
1.18333,0.00833333,0.337748
1.19167,0.00833333,0.351823
1.2,0.00833333,0.365799
1.20833,0.00833333,0.379678
1.21667,0.00833333,0.393461
1.225,0.00833333,0.407149
1.23333,0.00833333,0.420744
1.24167,0.00833333,0.434247
1.25,0.00833333,0.447658
1.25833,0.00833333,0.46098
1.26667,0.00833333,0.474213
1.275,0.00833333,0.487358
1.28333,0.00833333,0.500417
1.29167,0.00833333,0.513391
1.3,0.00833333,0.52628
1.30833,0.00833333,0.539086
1.31667,0.00833333,0.55181
1.325,0.00833333,0.564453
1.33333,0.00833333,0.577015
1.34167,0.00833333,0.589498
1.35,0.00833333,0.601903
1.35833,0.00833333,0.61423
1.36667,0.00833333,0.626481
1.375,0.00833333,0.638656
1.38333,0.00833333,0.650757
1.39167,0.00833333,0.662784
1.4,0.00833333,0.674738
1.40833,0.00833333,0.686619
1.41667,0.00833333,0.69843
1.425,0.00833333,0.71017
1.43333,0.00833333,0.721841
1.44167,0.00833333,0.733442
1.45,0.00833333,0.744976
1.45833,0.00833333,0.756442
1.46667,0.00833333,0.767842
1.475,0.00833333,0.779176
1.48333,0.00833333,0.790445
1.49167,0.00833333,0.80165
1.5,0.00833333,0.812791
1.50833,0.00833333,0.823869
1.51667,0.00833333,0.834884
1.525,0.00833333,0.845838
1.53333,0.00833333,0.856732
1.54167,0.00833333,0.867564
1.55,0.00833333,0.878338
1.55833,0.00833333,0.889052
1.56667,0.00833333,0.899708
1.575,0.00833333,0.910306
1.58333,0.00833333,0.920847
1.59167,0.00833333,0.931331
1.6,0.00833333,0.94176
1.60833,0.00833333,0.952133
1.61667,0.00833333,0.962451
1.625,0.00833333,0.972715
1.63333,0.00833333,0.982925
1.64167,0.00833333,0.993082
1.65,0.00833333,1.00319
1.65833,0.00833333,1.01324
1.66667,0.00833333,1.02324
1.675,0.00833333,1.03319
1.68333,0.00833333,1.04309
1.69167,0.00833333,1.05294
1.7,0.00833333,1.06274
1.70833,0.00833333,1.07249
1.71667,0.00833333,1.08219
1.725,0.00833333,1.09185
1.73333,0.00833333,1.10145
1.74167,0.00833333,1.11101
1.75,0.00833333,1.12053
1.75833,0.00833333,1.12999
1.76667,0.00833333,1.13941
1.775,0.00833333,1.14879
1.78333,0.00833333,1.15812
1.79167,0.00833333,1.16741
1.8,0.00833333,1.17665
1.80833,0.00833333,1.18585
1.81667,0.00833333,1.195
1.825,0.00833333,1.20412
1.83333,0.00833333,1.21319
1.84167,0.00833333,1.22222
1.85,0.00833333,1.23121
1.85833,0.00833333,1.24015
1.86667,0.00833333,1.24906
1.875,0.00833333,1.25792
1.88333,0.00833333,1.26675
1.89167,0.00833333,1.27553
1.9,0.00833333,1.28428
1.90833,0.00833333,1.29299
1.91667,0.00833333,1.30166
1.925,0.00833333,1.31029
1.93333,0.00833333,1.31888
1.94167,0.00833333,1.32744
1.95,0.00833333,1.33596
1.95833,0.00833333,1.34444
1.96667,0.00833333,1.35289
1.975,0.00833333,1.36129
1.98333,0.00833333,1.36967
1.99167,0.00833333,1.37801
2,0.00833333,1.38631
1,0.0166667,0.000277739
1.00833,0.0166667,0.0169703
1.01667,0.0166667,0.0335262
1.025,0.0166667,0.0499478
1.03333,0.0166667,0.066237
1.04167,0.0166667,0.0823959
1.05,0.0166667,0.0984266
1.05833,0.0166667,0.114331
1.06667,0.0166667,0.130111
1.075,0.0166667,0.145768
1.08333,0.0166667,0.161304
1.09167,0.0166667,0.176722
1.1,0.0166667,0.192022
1.10833,0.0166667,0.207207
1.11667,0.0166667,0.222277
1.125,0.0166667,0.237235
1.13333,0.0166667,0.252083
1.14167,0.0166667,0.266821
1.15,0.0166667,0.281451
1.15833,0.0166667,0.295976
1.16667,0.0166667,0.310395
1.175,0.0166667,0.324711
1.18333,0.0166667,0.338925
1.19167,0.0166667,0.353038
1.2,0.0166667,0.367052
1.20833,0.0166667,0.380968
1.21667,0.0166667,0.394787
1.225,0.0166667,0.40851
1.23333,0.0166667,0.422139
1.24167,0.0166667,0.435675
1.25,0.0166667,0.449119
1.25833,0.0166667,0.462472
1.26667,0.0166667,0.475736
1.275,0.0166667,0.488911
1.28333,0.0166667,0.501999
1.29167,0.0166667,0.515
1.3,0.0166667,0.527915
1.30833,0.0166667,0.540747
1.31667,0.0166667,0.553495
1.325,0.0166667,0.566161
1.33333,0.0166667,0.578745
1.34167,0.0166667,0.591249
1.35,0.0166667,0.603673
1.35833,0.0166667,0.616019
1.36667,0.0166667,0.628288
1.375,0.0166667,0.640479
1.38333,0.0166667,0.652595
1.39167,0.0166667,0.664636
1.4,0.0166667,0.676603
1.40833,0.0166667,0.688496
1.41667,0.0166667,0.700317
1.425,0.0166667,0.712067
1.43333,0.0166667,0.723745
1.44167,0.0166667,0.735353
1.45,0.0166667,0.746893
1.45833,0.0166667,0.758363
1.46667,0.0166667,0.769766
1.475,0.0166667,0.781102
1.48333,0.0166667,0.792371
1.49167,0.0166667,0.803575
1.5,0.0166667,0.814714
1.50833,0.0166667,0.825789
1.51667,0.0166667,0.8368
1.525,0.0166667,0.847749
1.53333,0.0166667,0.858636
1.54167,0.0166667,0.86946
1.55,0.0166667,0.880225
1.55833,0.0166667,0.890929
1.56667,0.0166667,0.901573
1.575,0.0166667,0.912158
1.58333,0.0166667,0.922686
1.59167,0.0166667,0.933155
1.6,0.0166667,0.943567
1.60833,0.0166667,0.953923
1.61667,0.0166667,0.964223
1.625,0.0166667,0.974468
1.63333,0.0166667,0.984657
1.64167,0.0166667,0.994793
1.65,0.0166667,1.00487
1.65833,0.0166667,1.0149
1.66667,0.0166667,1.02488
1.675,0.0166667,1.0348
1.68333,0.0166667,1.04468
1.69167,0.0166667,1.0545
1.7,0.0166667,1.06427
1.70833,0.0166667,1.07399
1.71667,0.0166667,1.08366
1.725,0.0166667,1.09329
1.73333,0.0166667,1.10286
1.74167,0.0166667,1.11239
1.75,0.0166667,1.12187
1.75833,0.0166667,1.1313
1.76667,0.0166667,1.14068
