x,y,V_teorica
0,0,0
0,0.01010101,0.00010203041
0,0.02020202,0.00040812162
0,0.03030303,0.00091827365
0,0.04040404,0.0016324865
0,0.050505051,0.0025507601
0,0.060606061,0.0036730946
0,0.070707071,0.0049994898
0,0.080808081,0.0065299459
0,0.090909091,0.0082644628
0,0.1010101,0.010203041
0,0.11111111,0.012345679
0,0.12121212,0.014692378
0,0.13131313,0.017243138
0,0.14141414,0.019997959
0,0.15151515,0.022956841
0,0.16161616,0.026119784
0,0.17171717,0.029486787
0,0.18181818,0.033057851
0,0.19191919,0.036832976
0,0.2020202,0.040812162
0,0.21212121,0.044995409
0,0.22222222,0.049382716
0,0.23232323,0.053974084
0,0.24242424,0.058769513
0,0.25252525,0.063769003
0,0.26262626,0.068972554
0,0.27272727,0.074380165
0,0.28282828,0.079991838
0,0.29292929,0.085807571
0,0.3030303,0.091827365
0,0.31313131,0.098051219
0,0.32323232,0.10447913
0,0.33333333,0.11111111
0,0.34343434,0.11794715
0,0.35353535,0.12498725
0,0.36363636,0.1322314
0,0.37373737,0.13967962
0,0.38383838,0.1473319
0,0.39393939,0.15518825
0,0.4040404,0.16324865
0,0.41414141,0.17151311
0,0.42424242,0.17998163
0,0.43434343,0.18865422
0,0.44444444,0.19753086
0,0.45454545,0.20661157
0,0.46464646,0.21589634
0,0.47474747,0.22538516
0,0.48484848,0.23507805
0,0.49494949,0.244975
0,0.50505051,0.25507601
0,0.51515152,0.26538108
0,0.52525253,0.27589022
0,0.53535354,0.28660341
0,0.54545455,0.29752066
0,0.55555556,0.30864198
0,0.56565657,0.31996735
0,0.57575758,0.33149679
0,0.58585859,0.34323028
0,0.5959596,0.35516784
0,0.60606061,0.36730946
0,0.61616162,0.37965514
0,0.62626263,0.39220488
0,0.63636364,0.40495868
0,0.64646465,0.41791654
0,0.65656566,0.43107846
0,0.66666667,0.44444444
0,0.67676768,0.45801449
0,0.68686869,0.47178859
0,0.6969697,0.48576676
0,0.70707071,0.49994898
0,0.71717172,0.51433527
0,0.72727273,0.52892562
0,0.73737374,0.54372003
0,0.74747475,0.5587185
0,0.75757576,0.57392103
0,0.76767677,0.58932762
0,0.77777778,0.60493827
0,0.78787879,0.62075298
0,0.7979798,0.63677176
0,0.80808081,0.65299459
0,0.81818182,0.66942149
0,0.82828283,0.68605244
0,0.83838384,0.70288746
0,0.84848485,0.71992654
0,0.85858586,0.73716968
0,0.86868687,0.75461688
0,0.87878788,0.77226814
0,0.88888889,0.79012346
0,0.8989899,0.80818284
0,0.90909091,0.82644628
0,0.91919192,0.84491378
0,0.92929293,0.86358535
0,0.93939394,0.88246097
0,0.94949495,0.90154066
0,0.95959596,0.92082441
0,0.96969697,0.94031221
0,0.97979798,0.96000408
0,0.98989899,0.97990001
0,1,1
0.02020202,0,0.00040812162
0.02020202,0.01010101,0.00010203041
0.02020202,0.02020202,0
0.02020202,0.03030303,0.00010203041
0.02020202,0.04040404,0.00040812162
0.02020202,0.050505051,0.00091827365
0.02020202,0.060606061,0.0016324865
0.02020202,0.070707071,0.0025507601
0.02020202,0.080808081,0.0036730946
0.02020202,0.090909091,0.0049994898
0.02020202,0.1010101,0.0065299459
0.02020202,0.11111111,0.0082644628
0.02020202,0.12121212,0.010203041
0.02020202,0.13131313,0.012345679
0.02020202,0.14141414,0.014692378
0.02020202,0.15151515,0.017243138
0.02020202,0.16161616,0.019997959
0.02020202,0.17171717,0.022956841
0.02020202,0.18181818,0.026119784
0.02020202,0.19191919,0.029486787
0.02020202,0.2020202,0.033057851
0.02020202,0.21212121,0.036832976
0.02020202,0.22222222,0.040812162
0.02020202,0.23232323,0.044995409
0.02020202,0.24242424,0.049382716
