0.06	0.82	-8.35761e+07
0.06	0.84	-7.43978e+07
0.06	0.86	-6.5158e+07
0.06	0.88	-5.58789e+07
0.06	0.9	-4.6577e+07
0.06	0.92	-3.7264e+07
0.06	0.94	-2.7947e+07
0.06	0.96	-1.863e+07
0.06	0.98	-9.31446e+06
0.06	1	0.06
0.08	0	0
0.08	0.02	-1.2418e+07
0.08	0.04	-2.48387e+07
0.08	0.06	-3.7264e+07
0.08	0.08	-4.96932e+07
0.08	0.1	-6.21223e+07
0.08	0.12	-7.45431e+07
0.08	0.14	-8.69413e+07
0.08	0.16	-9.92962e+07
0.08	0.18	-1.11579e+08
0.08	0.2	-1.23752e+08
0.08	0.22	-1.35768e+08
0.08	0.24	-1.4757e+08
0.08	0.26	-1.59089e+08
0.08	0.28	-1.70247e+08
0.08	0.3	-1.80953e+08
0.08	0.32	-1.91111e+08
0.08	0.34	-2.00614e+08
0.08	0.36	-2.09353e+08
0.08	0.38	-2.17215e+08
0.08	0.4	-2.24093e+08
0.08	0.42	-2.29882e+08
0.08	0.44	-2.3449e+08
0.08	0.46	-2.3784e+08
0.08	0.48	-2.39874e+08
0.08	0.5	-2.40556e+08
0.08	0.52	-2.39874e+08
0.08	0.54	-2.3784e+08
0.08	0.56	-2.3449e+08
0.08	0.58	-2.29882e+08
0.08	0.6	-2.24093e+08
0.08	0.62	-2.17215e+08
0.08	0.64	-2.09353e+08
0.08	0.66	-2.00614e+08
0.08	0.68	-1.91111e+08
0.08	0.7	-1.80953e+08
0.08	0.72	-1.70247e+08
0.08	0.74	-1.59089e+08
0.08	0.76	-1.4757e+08
0.08	0.78	-1.35768e+08
0.08	0.8	-1.23752e+08
0.08	0.82	-1.11579e+08
0.08	0.84	-9.92962e+07
0.08	0.86	-8.69413e+07
0.08	0.88	-7.45431e+07
0.08	0.9	-6.21223e+07
0.08	0.92	-4.96932e+07
0.08	0.94	-3.7264e+07
0.08	0.96	-2.48387e+07
0.08	0.98	-1.2418e+07
0.08	1	0.08
0.1	0	0
0.1	0.02	-1.55187e+07
0.1	0.04	-3.1043e+07
0.1	0.06	-4.6577e+07
0.1	0.08	-6.21223e+07
0.1	0.1	-7.76761e+07
0.1	0.12	-9.32298e+07
0.1	0.14	-1.08768e+08
0.1	0.16	-1.24267e+08
0.1	0.18	-1.39691e+08
0.1	0.2	-1.54997e+08
0.1	0.22	-1.70126e+08
0.1	0.24	-1.85006e+08
0.1	0.26	-1.99551e+08
0.1	0.28	-2.13663e+08
0.1	0.3	-2.27227e+08
0.1	0.32	-2.40118e+08
0.1	0.34	-2.52199e+08
0.1	0.36	-2.63326e+08
0.1	0.38	-2.73354e+08
0.1	0.4	-2.82137e+08
0.1	0.42	-2.8954e+08
0.1	0.44	-2.95439e+08
0.1	0.46	-2.99732e+08
0.1	0.48	-3.0234e+08
0.1	0.5	-3.03215e+08
0.1	0.52	-3.0234e+08
0.1	0.54	-2.99732e+08
0.1	0.56	-2.95439e+08
0.1	0.58	-2.8954e+08
0.1	0.6	-2.82137e+08
0.1	0.62	-2.73354e+08
0.1	0.64	-2.63326e+08
0.1	0.66	-2.52199e+08
0.1	0.68	-2.40118e+08
0.1	0.7	-2.27227e+08
0.1	0.72	-2.13663e+08
0.1	0.74	-1.99551e+08
0.1	0.76	-1.85006e+08
0.1	0.78	-1.70126e+08
0.1	0.8	-1.54997e+08
0.1	0.82	-1.39691e+08
0.1	0.84	-1.24267e+08
0.1	0.86	-1.08768e+08
0.1	0.88	-9.32298e+07
0.1	0.9	-7.76761e+07
0.1	0.92	-6.21223e+07
0.1	0.94	-4.6577e+07
0.1	0.96	-3.1043e+07
0.1	0.98	-1.55187e+07
0.1	1	0.1
0.12	0	0
0.12	0.02	-1.86138e+07
0.12	0.04	-3.72374e+07
0.12	0.06	-5.58789e+07
0.12	0.08	-7.45431e+07
0.12	0.1	-9.32298e+07
0.12	0.12	-1.11932e+08
0.12	0.14	-1.30634e+08
0.12	0.16	-1.49311e+08
0.12	0.18	-1.67923e+08
0.12	0.2	-1.86419e+08
0.12	0.22	-2.04731e+08
0.12	0.24	-2.22775e+08
0.12	0.26	-2.40447e+08
0.12	0.28	-2.57626e+08
0.12	0.3	-2.74173e+08
0.12	0.32	-2.89932e+08
0.12	0.34	-3.04733e+08
0.12	0.36	-3.18394e+08
0.12	0.38	-3.30729e+08
0.12	0.4	-3.41553e+08
0.12	0.42	-3.50691e+08
0.12	0.44	-3.57983e+08
0.12	0.46	-3.63294e+08
0.12	0.48	-3.66524e+08
0.12	0.5	-3.67608e+08
0.12	0.52	-3.66524e+08
0.12	0.54	-3.63294e+08
0.12	0.56	-3.57983e+08
0.12	0.58	-3.50691e+08
0.12	0.6	-3.41553e+08
0.12	0.62	-3.30729e+08
0.12	0.64	-3.18394e+08
0.12	0.66	-3.04733e+08
0.12	0.68	-2.89932e+08
0.12	0.7	-2.74173e+08
0.12	0.72	-2.57626e+08
0.12	0.74	-2.40447e+08
0.12	0.76	-2.22775e+08
0.12	0.78	-2.04731e+08
0.12	0.8	-1.86419e+08
0.12	0.82	-1.67923e+08
0.12	0.84	-1.49311e+08
0.12	0.86	-1.30634e+08
0.12	0.88	-1.11932e+08
0.12	0.9	-9.32298e+07
0.12	0.92	-7.45431e+07
0.12	0.94	-5.58789e+07
0.12	0.96	-3.72374e+07
0.12	0.98	-1.86138e+07
0.12	1	0.12
0.14	0	0
0.14	0.02	-2.16991e+07
0.14	0.04	-4.34139e+07
0.14	0.06	-6.5158e+07
0.14	0.08	-8.69413e+07
0.14	0.1	-1.08768e+08
0.14	0.12	-1.30634e+08
0.14	0.14	-1.52527e+08
0.14	0.16	-1.74419e+08
0.14	0.18	-1.9627e+08
0.14	0.2	-2.18024e+08
0.14	0.22	-2.39605e+08
0.14	0.24	-2.60914e+08
0.14	0.26	-2.81833e+08
0.14	0.28	-3.02218e+08
0.14	0.3	-3.21903e+08
0.14	0.32	-3.40699e+08
0.14	0.34	-3.58397e+08
0.14	0.36	-3.74775e+08
0.14	0.38	-3.89599e+08
0.14	0.4	-4.02636e+08
0.14	0.42	-4.13664e+08
0.14	0.44	-4.22479e+08
0.14	0.46	-4.28908e+08
0.14	0.48	-4.32821e+08
0.14	0.5	-4.34135e+08
0.14	0.52	-4.32821e+08
0.14	0.54	-4.28908e+08
0.14	0.56	-4.22479e+08
0.14	0.58	-4.13664e+08
0.14	0.6	-4.02636e+08
0.14	0.62	-3.89599e+08
0.14	0.64	-3.74775e+08
0.14	0.66	-3.58397e+08
0.14	0.68	-3.40699e+08
0.14	0.7	-3.21903e+08
0.14	0.72	-3.02218e+08
0.14	0.74	-2.81833e+08
0.14	0.76	-2.60914e+08
0.14	0.78	-2.39605e+08
0.14	0.8	-2.18024e+08
0.14	0.82	-1.9627e+08
0.14	0.84	-1.74419e+08
0.14	0.86	-1.52527e+08
0.14	0.88	-1.30634e+08
0.14	0.9	-1.08768e+08
0.14	0.92	-8.69413e+07
0.14	0.94	-6.5158e+07
0.14	0.96	-4.34139e+07
0.14	0.98	-2.16991e+07
0.14	1	0.14
0.16	0	0
0.16	0.02	-2.47688e+07
0.16	0.04	-4.9561e+07
0.16	0.06	-7.43978e+07
0.16	0.08	-9.92962e+07
0.16	0.1	-1.24267e+08
0.16	0.12	-1.49311e+08
0.16	0.14	-1.74419e+08
0.16	0.16	-1.99567e+08
0.16	0.18	-2.24715e+08
0.16	0.2	-2.49803e+08
0.16	0.22	-2.74748e+08
0.16	0.24	-2.99441e+08
0.16	0.26	-3.23748e+08
0.16	0.28	-3.47504e+08
0.16	0.3	-3.70512e+08
0.16	0.32	-3.92549e+08
0.16	0.34	-4.13364e+08
0.16	0.36	-4.32683e+08
0.16	0.38	-4.50221e+08
0.16	0.4	-4.65686e+08
0.16	0.42	-4.788e+08
0.16	0.44	-4.89302e+08
0.16	0.46	-4.96975e+08
0.16	0.48	-5.0165e+08
0.16	0.5	-5.0322e+08
0.16	0.52	-5.0165e+08
0.16	0.54	-4.96975e+08
0.16	0.56	-4.89302e+08
