0 0 1
0.04 0 1
0.08 0 1
0.12 0 1
0.16 0 1
0.2 0 1
0.24 0 1
0.28 0 1
0.32 0 1
0.36 0 1
0.4 0 1
0.44 0 1
0.48 0 1
0.52 0 1
0.56 0 1
0.6 0 1
0.64 0 1
0.68 0 1
0.72 0 1
0.76 0 1
0.8 0 1
0.84 0 1
0.88 0 1
0.92 0 1
0.96 0 1
1 0 1
1.04 0 1
1.08 0 1
1.12 0 1
1.16 0 1
1.2 0 1
1.24 0 1
1.28 0 1
1.32 0 1
1.36 0 1
1.4 0 1
1.44 0 1
1.48 0 1
1.52 0 1
1.56 0 1
1.6 0 1
1.64 0 1
1.68 0 1
1.72 0 1
1.76 0 1
1.8 0 1
1.84 0 1
1.88 0 1
1.92 0 1
1.96 0 1
2 0 1

0 0.02 1
0.04 0.02 1.0008
0.08 0.02 1.0016
0.12 0.02 1.0024
0.16 0.02 1.0032
0.2 0.02 1.004
0.24 0.02 1.0048
0.28 0.02 1.0056
0.32 0.02 1.00641
0.36 0.02 1.00721
0.4 0.02 1.00801
0.44 0.02 1.00882
0.48 0.02 1.00962
0.52 0.02 1.01043
0.56 0.02 1.01124
0.6 0.02 1.01205
0.64 0.02 1.01286
0.68 0.02 1.01367
0.72 0.02 1.01448
0.76 0.02 1.01529
0.8 0.02 1.0161
0.84 0.02 1.01691
0.88 0.02 1.01773
0.92 0.02 1.01854
0.96 0.02 1.01935
1 0.02 1.02017
1.04 0.02 1.02099
1.08 0.02 1.0218
1.12 0.02 1.02262
1.16 0.02 1.02344
1.2 0.02 1.02426
1.24 0.02 1.02508
1.28 0.02 1.0259
1.32 0.02 1.02673
1.36 0.02 1.02755
1.4 0.02 1.02837
1.44 0.02 1.0292
1.48 0.02 1.03002
1.52 0.02 1.03085
1.56 0.02 1.03167
1.6 0.02 1.0325
1.64 0.02 1.03333
1.68 0.02 1.03416
1.72 0.02 1.03499
1.76 0.02 1.03582
1.8 0.02 1.03665
1.84 0.02 1.03748
1.88 0.02 1.03831
1.92 0.02 1.03914
1.96 0.02 1.03998
2 0.02 1.04081

0 0.04 1
0.04 0.04 1.0016
0.08 0.04 1.0032
0.12 0.04 1.0048
0.16 0.04 1.0064
0.2 0.04 1.00801
0.24 0.04 1.00962
0.28 0.04 1.01124
0.32 0.04 1.01285
0.36 0.04 1.01447
0.4 0.04 1.01609
0.44 0.04 1.01772
0.48 0.04 1.01934
0.52 0.04 1.02097
0.56 0.04 1.0226
0.6 0.04 1.02424
0.64 0.04 1.02588
0.68 0.04 1.02752
0.72 0.04 1.02916
0.76 0.04 1.03081
0.8 0.04 1.03246
0.84 0.04 1.03411
0.88 0.04 1.03577
0.92 0.04 1.03742
0.96 0.04 1.03909
1 0.04 1.04075
1.04 0.04 1.04242
1.08 0.04 1.04409
1.12 0.04 1.04576
1.16 0.04 1.04743
1.2 0.04 1.04911
1.24 0.04 1.05079
1.28 0.04 1.05248
1.32 0.04 1.05417
1.36 0.04 1.05586
1.4 0.04 1.05755
1.44 0.04 1.05925
1.48 0.04 1.06095
1.52 0.04 1.06265
1.56 0.04 1.06435
1.6 0.04 1.06606
1.64 0.04 1.06777
1.68 0.04 1.06948
1.72 0.04 1.0712
1.76 0.04 1.07292
1.8 0.04 1.07464
1.84 0.04 1.07636
1.88 0.04 1.07809
1.92 0.04 1.07982
1.96 0.04 1.08155
2 0.04 1.08329

0 0.06 1
0.04 0.06 1.0024
0.08 0.06 1.0048
0.12 0.06 1.00721
0.16 0.06 1.00962
0.2 0.06 1.01204
0.24 0.06 1.01447
0.28 0.06 1.0169
0.32 0.06 1.01934
0.36 0.06 1.02178
0.4 0.06 1.02424
0.44 0.06 1.02669
0.48 0.06 1.02915
0.52 0.06 1.03162
0.56 0.06 1.0341
0.6 0.06 1.03658
0.64 0.06 1.03907
0.68 0.06 1.04156
0.72 0.06 1.04406
0.76 0.06 1.04657
0.8 0.06 1.04908
